,Y,X,alpha,beta,t-stat,p-value,r-sq,ADF p-value,Coint Strength,Coint Strength p-value,Coint Strength Rsq
14463,ALNY,CNI,-2.845683835038146,6.233788031465671,72.23667337328999,0.0,0.6747762251604139,0.009887673356325,-0.007844584298224556,0.001338430397316046,0.030114350853281402
14466,ALNY,COF,-1.6313328745221265,5.525255871472382,61.51674515397383,0.0,0.6007499192427146,0.0234271449224949,-0.006669067033251024,0.002515972525170316,0.029957540262209426
14467,ALNY,COO,0.3117177215456573,3.141736671177665,72.82987695007364,0.0,0.6783554708487838,0.0102326444196678,-0.008224614858000905,0.0008047214173267762,0.033906946954342376
14469,ALNY,COR,-5.919812173441417,6.6796784051205735,103.68367028635684,0.0,0.8104076545987804,0.0001570169660172,-0.012104192191469933,0.0001454632352902162,0.04335625038787605
14470,ALNY,COST,2.5797395273173414,2.5374697855137,71.06280369680458,0.0,0.6675444932575294,0.035675627995982,-0.007260907120743785,0.002742881582473663,0.026480055097503508
14471,ALNY,CP,0.0208840223285928,3.360305182819995,79.0022729933434,0.0,0.7127801680663499,0.0072285842903355,-0.009838771546659382,0.0001602476590619689,0.02747589885190682
14473,ALNY,CPRT,5.006898491773733,1.223819325651668,62.951997104415724,0.0,0.6117601292763127,0.0302802282660972,-0.006696007106749191,0.002727709332123998,0.03323537017609712
14474,ALNY,CQP,-0.909709972163507,4.262843815316669,55.14388133005164,0.0,0.5473238002052297,0.0314549792234126,-0.005584579381357077,0.007429897754323648,0.017368669508750822
14475,ALNY,CRH,-2.955564042833728,7.04127566353506,73.37302214817154,0.0,0.6815891576643209,0.0079419191581777,-0.008059847756298286,0.001102933913632829,0.03178612732280961
14476,ALNY,CRL,4.482931141800507,1.279324238718551,70.81816065101897,0.0,0.6660120537444778,0.0119904467556508,-0.007319833839607141,0.002293130542041117,0.04081023407889728
14477,ALNY,CRM,3.0543890095201585,1.5693127375253306,71.29332819618449,0.0,0.6689804536038533,0.0130697658783587,-0.0070422123967926,0.0034350101261809247,0.0442544737460302
14479,ALNY,CSGP,4.238623511766986,1.0628254103167971,67.7664539025188,0.0,0.6461380927001384,0.0287977607879449,-0.007008611057006666,0.002525740311447595,0.04973686681212586
14480,ALNY,CSL,-0.536413308513095,4.106358933167767,70.53581944592544,0.0,0.6642324890518241,0.031693033230654,-0.007095725222188183,0.003291812028814688,0.02500484454733254
14481,ALNY,CSX,2.633507699970366,2.8442723365528777,61.92257056511559,0.0,0.6038998770986623,0.031972933010192,-0.006622176169018398,0.0028610465185283478,0.02575509670952114
14482,ALNY,CTAS,4.244454970553165,1.1760263476276709,68.23505294371817,0.0,0.6492829275804833,0.0205376041673153,-0.0070300248318660285,0.0029590996157352525,0.021764259373625694
14484,ALNY,CTSH,-6.349472188552189,8.963090614083255,68.18090191754787,0.0,0.648921271898736,0.0105717649026977,-0.0051707839058908744,0.027454023254204783,0.039523320662304906
14488,ALNY,D,-9.015959509764803,11.389161996379618,63.616415903440405,0.0,0.6167355287141298,0.0122441038105433,-0.007133871948386458,0.0017207016112891229,0.010928321342275504
